subject,session,scan,snr,bg_mean,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality
sub-50008,session_1,pamret,11.1879689576,46.1948399637,104760,64.8364765931,1.07574265987,0.540958916106,86.3248749102,725.388487446,34504,144.612266904,1.91782839861,1.9157,2.05921333333,1.7881375,0.0182347689826,0.022198298946,45.6523742676,0.125971523081,0,n/a,0,0.0145776063208
sub-50008,session_1,bart,11.0103643071,46.7020584742,104780,66.0584426849,1.10644758257,0.541457636615,84.0064600645,727.327519518,34484,144.212732799,1.8937485228,1.89538,2.02801333333,1.7668475,0.0277925051721,0.021202929318,52.05443573,0.134334032633,0,n/a,0,0.0103399055431
sub-50008,session_1,pamenc,11.3746894709,45.1542269593,104848,63.5028443698,1.09343968555,0.539007559572,89.3179266402,722.325135223,34416,143.313530792,1.89586849677,1.88679333333,2.03357666667,1.77599,0.0226323644763,0.0235850140452,51.2757339478,0.121891272626,0,n/a,0,0.0109362751531
sub-50008,session_1,scap,11.5253520546,43.0125672363,104591,61.1407290753,1.12200045256,0.536989533898,92.7035633147,704.668427466,34673,146.60244763,1.98105207959,2.00494333333,1.8774075,2.06551666667,0.024287213732,0.0359458215535,47.5336074829,0.153233707438,1,n/a,0.342465753425,0.0113146142268
sub-50008,session_1,taskswitch,11.4176642601,43.298883873,104655,62.0624802622,1.08853977022,0.536250760301,91.5886623349,708.608562783,34609,149.525390532,1.99582526965,2.03665666667,1.89472,2.06018,0.020482827915,0.0371314585209,55.6481666565,0.1175717872,0,n/a,0,0.00839734966346
sub-50008,session_1,bht,11.3981389028,43.0206595453,104595,61.4133866649,1.0511166932,0.537209205121,90.997444586,699.998311697,34669,147.044066071,1.99196691702,2.03197,1.86983,2.0803,0.0534435302143,0.0365073047578,41.0249481201,0.30155040177,2,n/a,2.5,0.0149220187342
sub-50008,session_1,rest,11.3091597231,43.5757187258,104655,62.2065546002,1.08056880459,0.537456162635,89.6235094125,703.503861801,34609,148.569126667,2.02198877703,2.05815,1.905735,2.10764333333,0.0115764874057,0.0396720506251,40.8970603943,0.137050788654,1,n/a,0.653594771242,0.0154735048026
sub-50008,session_1,stopsignal,11.5114868362,43.6700923046,104604,61.315038609,1.07055252456,0.538473322694,91.6595691904,705.827259806,34660,145.616725127,2.00544389443,2.0498,1.89595,2.07535666667,0.0196798914857,0.0354841500521,41.5205383301,0.19985378321,5,n/a,2.7027027027,0.0157830745109
sub-50010,session_1,pamret,10.9319492073,48.9991192711,101739,74.904089836,1.2782799561,0.543797021899,88.936937211,818.847705509,37525,204.954088696,2.30677396657,2.25308333333,2.5261964659,2.15661,0.0137986850506,0.0282022189349,70.2191848755,0.10091880771,0,n/a,0,0.00415295768868
sub-50010,session_1,pamenc,10.9520571725,48.6038626083,101705,74.532604856,1.2895299918,0.543556803105,89.4315863331,816.285349598,37559,204.313745867,2.31452095718,2.2544,2.52377646609,2.17922,0.0173817307172,0.0267358291894,60.9922065735,0.137425520382,2,n/a,1.0152284264,0.00510456693878
sub-50010,session_1,taskswitch,9.74308544666,51.3696174101,101679,82.1748077635,1.30086063134,0.547651183043,72.7979293913,800.636173602,37585,206.548756543,2.31995717616,2.33940666667,2.56045666667,2.0845725,0.0187139505062,0.0324166864157,59.8562431335,0.083671099363,0,n/a,0,0.0129369519231
sub-50010,session_1,scap,10.94491662,48.711001479,101759,73.0210824335,1.13163411382,0.544704263494,88.3561547616,799.209658734,37505,205.013171599,2.35579079339,2.31960666667,2.54398333333,2.21555,0.0125597489152,0.0246948171407,66.8365936279,0.094688573129,0,n/a,0,0.00388263329897
sub-50010,session_1,bht,10.7435244934,50.5058166539,101813,73.573208638,1.05224070113,0.548736393127,83.5711879968,790.435569061,37451,201.883706241,2.37232356185,2.34704666667,2.5668,2.2161975,0.0563941960259,0.0286721941084,43.989276886,0.177726562584,1,n/a,1.25,0.0126840527848
sub-50010,session_1,rest,10.9603226744,48.9139087582,101884,72.3938508452,1.15624750615,0.545415474622,87.8412658327,793.459964904,37380,202.358454679,2.3671811107,2.34228333333,2.55609,2.21554,0.0214558065398,0.0243621412665,57.8779029846,0.171962467645,1,n/a,0.653594771242,0.00550347539474
sub-50010,session_1,stopsignal,10.9745994342,48.3059217693,101742,72.9500607619,1.1972474129,0.543916275147,89.2320644925,800.597695564,37522,205.247988328,2.3667389447,2.33071333333,2.5627,2.21955,0.0153872743678,0.025014128536,61.556968689,0.106198831635,1,n/a,0.540540540541,0.00503621016304
sub-50010,session_1,bart,11.0227984494,48.1231999878,101718,74.0465198793,1.23156639567,0.542754508787,90.7708094247,816.19986451,37546,204.232594078,2.29889372046,2.24620666667,2.50419313432,2.159925,0.0100261898931,0.0261014550924,67.8684234619,0.0886662383767,0,n/a,0,0.00443493344569
sub-50013,session_1,pamenc,10.2435607121,52.7221930976,100251,73.9748151578,1.09952845472,0.566923203943,73.3101407644,757.765510239,39013,175.317933423,2.13463207988,2.14809,2.32147666667,1.9505275,0.015868425371,0.0468552745879,52.7886123657,0.0699952471606,0,n/a,0,0.00656574483471
sub-50013,session_1,bht,10.3931387174,55.6480699098,100161,76.3035994195,1.09984638123,0.567870712151,74.4528915654,793.033893402,39103,187.44401874,2.18064762925,2.14968666667,2.39406666667,2.0148625,0.0739708986305,0.0465892441571,49.3311195374,0.14886824842,0,n/a,0,0.0080209935443
sub-50013,session_1,pamret,10.4251836462,52.5873352088,100203,72.6417492207,1.08315622823,0.567315927702,75.1185409457,757.303576009,39061,174.957894337,2.12843267027,2.11913666667,2.33531,1.948385,0.0146303722347,0.0504758730531,47.8234634399,0.0741164051687,1,n/a,0.371747211896,0.00895081492537
sub-50013,session_1,scap,10.3789017083,54.3836742538,100373,75.7208482146,1.1074678595,0.565235044133,75.0789520806,785.899240889,38891,186.781988126,2.17924844643,2.14921,2.38291666667,2.02084,0.0148349827718,0.0438756719232,57.6035423279,0.0855680025756,0,n/a,0,0.00522492690722
sub-50013,session_1,rest,10.4358940151,55.0232038694,100245,75.8074875578,1.11841179822,0.566672435185,75.3103538004,791.118905708,39019,186.883023,2.15923286358,2.13476666667,2.36346666667,1.9952525,0.0125220948651,0.0449036024511,57.0978240967,0.120093554057,0,n/a,0,0.00545179
sub-50013,session_1,taskswitch,10.4845276747,56.0876823552,100531,76.8311883529,1.06197918068,0.565628320246,75.7012383527,805.538720567,38733,190.036139134,2.21112679793,2.18838333333,2.39639666667,2.0613825,0.0451788214449,0.0462153255939,45.6253356934,0.119851816116,1,n/a,0.478468899522,0.0111123548558
sub-50013,session_1,bart,10.2141371042,53.139900954,100334,74.4234671368,1.02559449255,0.567185351195,72.7320109728,760.171497102,38930,174.276121823,2.15600141753,2.14363,2.35414,1.985935,0.025511337913,0.0461162440479,42.7682495117,0.114381581799,2,n/a,0.746268656716,0.011385392397
sub-50013,session_1,stopsignal,10.4536503501,54.3678640466,100277,75.1002259019,1.10716634677,0.565897261453,75.7569446969,785.07150279,38987,186.706122628,2.16367572332,2.13685,2.37312333333,1.997475,0.0172006665798,0.0445931963623,58.7170829773,0.0703754266078,0,n/a,0,0.00491414788043
sub-50014,session_1,pamenc,9.38639797944,57.9528828352,102510,79.6208616878,1.12310012443,0.566133669004,60.6609120787,747.353095268,36754,172.484927244,2.00262115591,1.95414666667,2.18055965341,1.88482227531,0.0323038890886,0.0498288944364,50.6129455566,0.141026434927,2,n/a,0.82304526749,0.00731026909091
sub-50014,session_1,bart,9.55211995539,57.3264701016,102505,79.0240467209,1.07209363504,0.564333105137,62.932815929,754.847173638,36759,173.27230828,1.99085832973,1.93826333333,2.18207965317,1.86567977759,0.0155008772181,0.050013281405,53.7211151123,0.102550468419,1,n/a,0.373134328358,0.00642801475655
sub-50014,session_1,bht,9.53652751326,56.7756630313,102259,78.5337899022,1.09300801357,0.566029826435,62.6921091433,748.939648123,37005,166.823269777,1.93119029172,1.86982,2.12488333333,1.812765,0.0496620851897,0.0474659390748,47.1505508423,0.183178003996,0,n/a,0,0.00979670012658
sub-50014,session_1,rest,9.69074365068,55.4047617252,102373,77.0514615308,1.1051335296,0.56335405751,65.0040572414,746.685961605,36891,167.103646186,1.90704075962,1.85114,2.09936666667,1.7846425,0.0155468396806,0.0452815108001,55.5659942627,0.119194563082,0,n/a,0,0.00618258309211
sub-50014,session_1,taskswitch,9.46678270123,56.0123171618,102366,79.0029551635,1.09063915951,0.564028592326,62.5942621493,747.903809288,36898,166.429617875,1.90798869084,1.84311333333,2.09426333333,1.79947,0.0115165857816,0.0449531488121,58.8521385193,0.0727783678533,0,n/a,0,0.00520037206731
sub-50014,session_1,pamret,9.40115538452,58.245414445,102285,79.5226915483,1.14278747955,0.567470089729,60.6558919539,747.605179841,36979,174.469637264,2.0192447792,1.97572333333,2.1919296516,1.90114227337,0.0174011020266,0.0476831570268,52.2953224182,0.186234763396,1,n/a,0.371747211896,0.00675445347015
sub-50014,session_1,stopsignal,9.79775521291,54.9421145726,102353,76.2046478583,1.13024002115,0.562802311008,66.3274469702,746.634485802,36911,167.109911223,1.91550248431,1.85773333333,2.11005666667,1.7929625,0.0151908916792,0.0451834909618,54.0390472412,0.107408489112,0,n/a,0,0.00647617391304
sub-50014,session_1,scap,9.75652307686,55.1459604034,102348,76.6238377141,1.10028459391,0.563106160994,65.8257053642,747.582240895,36916,166.659719778,1.91134127825,1.85159,2.09717333333,1.7981875,0.0182530871451,0.0450233891606,55.0954551697,0.125225836445,1,n/a,0.342465753425,0.006056924811
sub-50015,session_1,bht,9.41270090303,58.2866713323,99841,85.7953873561,1.07599496028,0.569024469378,64.1107857029,807.566320042,39423,193.774321245,2.18513607479,2.18317333333,2.35651018728,2.0280425,0.0741082487003,0.04389256984,54.9969749451,0.10080248103,0,n/a,0,0.00704899025316
sub-50015,session_1,rest,9.45943474198,58.7753377026,99782,86.8342582001,1.0427700253,0.568633513152,64.8781943824,821.402998812,39482,196.49766205,2.19975481066,2.19538666667,2.36297352113,2.0518875,0.0540028157577,0.0425036735833,64.2609939575,0.072258192247,0,n/a,0,0.00465367236842
sub-50015,session_1,bart,9.30436720158,59.902934432,99950,89.5920388756,1.02347144498,0.568280669358,63.1523889066,833.597228038,39314,196.551462406,2.2167568431,2.20076,2.40764333333,2.0558425,0.0487946872367,0.0439577400684,55.6872215271,0.0888496155988,0,n/a,0,0.00708691029963
